fragment,counter
[*]C[C@H](C)C(C)C,5
[*]C[C@H]([*])C,13
[*]C(N)=O,67
[*]NCCC[C@H](N)C(=O)O,3
C[C@@H](O)[C@H](N)C(=O)O,1
[*]O[P@](=O)(O)O[P@](=O)(O)O[*],6
[*]N1C=CCC(C(N)=O)=C1,2
[*]N[C@@H](CCC(=O)O)C(=O)O,47
[*]C(=O)C1:C:C:C(N[*]):C:C:1,32
[*]CC1:C:N:C2:[NH]:C(N):N:C(=O):C:2:N:1,1
[*]CCCCC(=O)O,19
C[C@H](N)C(=O)O,1
CC(C)[C@H](N)C(=O)O,1
[*]CC1=C(C)CCCC1(C)C,12
[*]CCO,10
[*][C@]1(C)CCC2:C(C):C(O):C(C):C(C):C:2O1,1
[*]CCC[C@H](C)CCC[C@H](C)CCCC(C)C,4
CC1:N:C:C(CO):C(CO):C:1O,2
[*][C@@H]1CCSS1,4
CC[C@H](C)[C@H](N)C(=O)O,2
[*][C@H](C)CCCC(C)C,13
CC1=CC(=O)C2:C:C:C:C:C:2C1=O,1
[*]C(=O)O,672
[*][C@@H]1CCCN1,4
NC1:N:C:N:C2:N:C:[NH]:C:1:2,1
NC(=O)C[C@H](N)C(=O)O,2
[*]C(=O)[C@@H](C)CC,6
[*]CC[C@@H](O)C[C@@H](O)CC(=O)O,4
[*]O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H]([*])[C@H]21,1
[*]CCN,36
[*]C(F)(F)F,300
[*]O/N=C(\CCCCOC)C1:C:C:C([*]):C:C:1,2
[*]C(=O)CCCC,10
[*][C@H](C(=O)O)C(C)C,3
[*]N([*])[C@H](C(=O)O)C(C)C,2
[*]C1:N:N:[NH]:N:1,16
[*]C1:C:C:C:C:C:1[*],96
[*]N([*])CC1:C:C:C([*]):C:C:1,6
[*]CC1:C:C:C([*]):C:C:1,55
[*]OCC,272
[*]C(=O)[C@@H]([*])C,23
[*]C(=O)[C@H](C)N[*],62
[*]N1[C@H]2CCC[C@H]2C[C@H]1[*],2
[*]C(=O)[C@H](CC[*])N[*],12
[*]C(=O)[C@@H]([*])CC[*],14
[*]C1:C:C:C(O):C(O):C:1,50
[*]C[C@H](C)[C@H](C)C[*],4
[*]C(=O)CO,57
[*][C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,3
[*][C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,3
[*]C(CN)CC(=O)O,2
[*]C1:C:C:C(Cl):C:C:1,183
[*]CC(C)N,13
[*]C(=O)[C@H](CC(=O)O)N[*],19
[*]C(=O)[C@H](CCSC)N[*],14
[*]C(=O)CCN[*],25
[*]C(=O)O[*],168
[*]C(=O)N[*],277
[*]C(=O)CC[*],13
[*]N[C@@H](C[*])C(N)=O,13
[*][C@@H]1CCCN1C,3
[*]C1:C:C:C:N:C:1,51
CC1O[C@@]2(CS1)CN1CCC2CC1,1
O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2Cl)=NC1O,1
[*]NC(C)C,54
[*]CC(O)C[*],83
[*]C(C)C,137
[*]CC(O)CN[*],36
[*]OCC(O)C[*],43
[*]OCC(O)CN[*],34
[*]CCC(=O)OC,4
[*]OC1:C:C:C([*]):C:C:1,201
[*]C1:C:C:C([*]):C:C:1,487
[*]C(=O)C1:C:N:C:C:N:1,3
[*]N[C@@H](CC(C)C)B(O)O,4
C#CC(O)(/C=C/Cl)CC,1
[*]C[C@](C)(NN)C(=O)O,1
[*]CC(C)(C)N,2
[*]CCCC1(C(N)=O)C2:C:C:C:C:C:2C2:C:C:C:C:C:21,1
[*]NCCCC1(C(N)=O)C2:C:C:C:C:C:2C2:C:C:C:C:C:21,1
[*]N(C)C,371
[*]C1:C:C:C:C(OC):C:1,25
[*]C[C@H]1CCCC[C@@]1([*])O,2
[*][C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,9
[*]CC1CC1,31
[*]OCC1CC1,6
[*]OC1:C:C:C(CC[*]):C:C:1,5
[*]CCC1:C:C:C([*]):C:C:1,16
[*]OCC[*],37
[*]N1:C:N:C:N:1,25
[*]C1:C:C:C(F):C:C:1F,28
[*]CC([*])(O)C[*],2
[*]C(CC)CC,3
[*]C(=O)C1=C[C@@H](O[*])[C@H](N[*])[C@@H](N)C1,1
[*]OC(CC)CC,2
[*]C(=O)C1=C[C@@H]([*])[C@H](N[*])[C@@H](N)C1,1
[*][C@H]1C[C@@](C)(OC)[C@@H](O)[C@H](C)O1,9
[*]O[C@H]1C[C@@](C)(OC)[C@@H](O)[C@H](C)O1,9
[*]O[C@H]1[C@H](C)[C@@H](O[*])[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C,2
[*]O[C@@H]1[C@@H](C)[C@H]([*])[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]1(C)O,2
[*]O[C@@H]1[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@H]([*])[C@H]1C,2
[*][C@H]1[C@H](C)[C@@H]([*])[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C,2
[*][C@@H]1O[C@H](C)C[C@H]([*])[C@H]1O,11
[*]O[C@@H]1O[C@H](C)C[C@H]([*])[C@H]1O,11
[*][C@@H]1C2=[N+]3C(=CC4=[N+]5C(=C(C)C6=[N+]7[C@@](C)([C@H]8[C@H]([*])[C@@]9(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]%10[C@@H](CO)O[C@@H]([C@@H]%10O)N%10:C:[N+](:C%11:C:C(C):C(C):C:C:%11:%10)[Co-3]357(O)N8C9=C2C)[C@]([*])(C)[C@@H]6[*])[C@]([*])(C)[C@@H]4[*])C1(C)C,1
CN1:C(=O):C2:C(:N:C:N:2C):N(C):C:1=O,1
[*]C(=O)CCC([*])=O,7
[*]OCC[*],220
[*]N1CCN(C)CC1,80
[*]CCC,62
[*]S(=O)(=O)C1:C:C:C([*]):C([*]):C:1,5
[*]C1:N:C(=O):C2:C(:[NH]:1):C([*]):N:N:2C,4
[*]CCN([*])C,13
[*]OCCN([*])C,5
[*]S(C)(=O)=O,45
[*]OC1:C:C:C(N[*]):C:C:1,34
[*]NS(C)(=O)=O,44
[*]NC1:C:C:C([*]):C:C:1,116
[*]CCC1:C:C:C(N[*]):C:C:1,6
[*]N(C)CC[*],10
[*]C1:C(N):N:C(N):N:C:1CC,10
[*]C(=O)C1:C:C(OC):C(OC):C(OC):C:1,10
[*]C(=O)OC,71
[*]O[C@@H]1C[C@@H]2CN3CCC4:C(:[NH]:C5:C:C(OC):C:C:C:4:5)[C@H]3C[C@@H]2[C@H]([*])[C@H]1OC,3
[*]O[C@H]1[C@H](C)[C@@H](O[*])[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C,1
[*]O[C@@H]1[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)N(C)C[C@H](C)C[C@@](C)(O)[C@H]([*])[C@H]1C,1
[*]O[C@@H]1[C@@H](C)[C@H]([*])[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)N(C)C[C@H](C)C[C@@]1(C)O,1
[*][C@H]1[C@H](C)[C@@H]([*])[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C,1
[*]CC1:C:C:C:C:C:1Cl,3
[*]N1CCC2:S:C:C:C:2C1,2
[*]O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1,1
[*]C(=O)C([*])([*])O,19
[*]C12CC3CC(CC(C3)C1)C2,5
[*]C1:C:C:C(OC):C([*]):C:1,17
[*]C1:C:C:C2:C:C([*]):C:C:C:2:C:1,7
[*]C(=O)CN,19
[*]NCC([*])O,28
