fragment,counter
[*]CC1:C(O):C:C2:C(:C:1O)C1:C:C(:C:C:C:1O)[C@H]1NC(=O)[C@@H]3NC(=O)[C@H]([*])NC(=O)[C@H](N[*])[C@H](O)C4:C:C:C(:C(Cl):C:4)OC4:C:C3:C:C(:C:4[*])OC3:C:C:C(:C:C:3Cl)[C@@H](O)[C@H](NC1=O)C(=O)N[C@@H]2C(=O)O,1
[*]OC1:N:C(C):C:C(C):N:1,2
[*][C@H](C(=O)O)C([*])([*])OC,3
[*]O[C@H](C(=O)O)C([*])([*])OC,3
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,1
[*]C([*])[S@](=O)CC(N)=O,2
[*]OC1:C(C):C:C(C#N):C:C:1C,2
[*]C1:C(C):C:C(C#N):C:C:1C,2
[*]NC1:C:C:C(C#N):C:C:1,8
[*]C1:N:C([*]):C(Br):C(N):N:1,1
[*]NC1:N:C([*]):C(Br):C(N):N:1,1
[*]OC1:N:C([*]):N:C(N):C:1Br,1
[*]OC1:N:C(N[*]):N:C(N):C:1Br,1
[*]OP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,1
[*]CCSC,2
[*]CCC(F)(F)F,2
[*]NC1:N:C(S[*]):N:C2:C:1:N:C:N:2[*],1
[*]C(=O)C1:C:C(Cl):C(N):C2:C:1OCC2,1
[*]NC1:C:C:C(C):C(S(N)(=O)=O):C:1,1
[*]N(C)C1:C:C:C2:C(C):N(C):N:C:2:C:1,1
[*]C1:C:C:C(C):C(S(N)(=O)=O):C:1,1
[*]C1:C:C:C2:C(C):N(C):N:C:2:C:1,1
[*]N(C)C1:C:C:N:C([*]):N:1,2
[*]NC1:N:C:C:C(N([*])C):N:1,2
[*]C(=O)/C(=N\OCC)C1:N:S:C(NP(=O)(O)O):N:1,2
[*]N[C@@H]1C(=O)N2C(C(=O)[O-])=C(S[*])CS[C@H]12,2
[*]C1:C:C:[N+](C):C:C:1,2
[*]C1:C:C:C:C2:C:C:C(OC):C:C:1:2,2
[*]N(C)[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)N1:C3:C:C:C:C:C:3:C3:C4:C(:C5:C6:C:C:C:C:C:6:N2:C:5:C:3:1)C(=O)NC4,2
[*]CCC1:C(C):[NH]:C2:C:C:C:C:C:1:2,2
[*]C/C(O)=N/O,2
[*]NCC1:C:C:C(C[*]):C:C:1,2
[*]CC1:C:C:C(C[*]):C:C:1,3
[*]C1:C(C):[NH]:C2:C:C:C:C:C:1:2,3
[*]N1:N:C([*]):C2:C:1C(=O)N([*])CC2,1
[*]N1CCCCC1=O,1
[*]NC1:C:C(OC):C([*]):C2:C(C):C:C(OC):N:C:1:2,2
[*]OC1:C(OC):C:C(N[*]):C2:N:C(OC):C:C(C):C:1:2,2
[*]N[C@H]([*])C(CC)CC,2
[*][C@H]1C[C@@H]([*])[C@H]([*])[C@@H]1O,2
[*]NC1:C:C(OC):C(Cl):C:C:1Cl,1
[*]OC1:C:C2:N:C:C(C#N):C([*]):C:2:C:C:1OC,1
[*]C1:C:C(OC):C(Cl):C:C:1Cl,1
[*]OC1:C:C2:N:C:C(C#N):C(N[*]):C:2:C:C:1OC,1
[*]C1:C:C2:N:C:C(C#N):C([*]):C:2:C:C:1OC,1
[*]NC1:C(C#N):C:N:C2:C:C([*]):C(OC):C:C:1:2,1
[*]CC1:C:C:C:C:N:1,3
[*]SC1:C:C:C:C:C:1[*],8
[*]CC1:N:[NH]:C2:C:C([*]):C:C:C:1:2,2
[*]CC1:N:[NH]:C2:C:C(S[*]):C:C:C:1:2,2
[*]C(=O)CNC,4
[*]OCC1:C:C:C:N:C:1N([*])C,2
[*]OCC1:C:C:C:N:C:1[*],3
[*]OC(C)[N+]1:C:N:N([*]):C:1,2
[*]C1:C:C(F):C:C:C:1F,10
[*]C(C)[N+]1:C:N:N([*]):C:1,2
N=C1:C:C:[NH]:C:C:1,1
[*]N[C@@H](C)C(N)=O,6
[*][C@@H](C)C(N)=O,4
[*]NCCN,9
[*]O[C@@H]1C[C@H]2C(=O)N[C@@H]([*])C(=O)N[C@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N2C1,1
[*]O[C@@H]1C[C@H]2C(=O)N[C@@H]([*])C(=O)N[C@H](C[*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N2C1,1
[*]O[C@@H]1C[C@H]2C(=O)N[C@@H]([*])C(=O)N[C@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](C[*])C(=O)N2C1,1
[*]O[C@@H]1C[C@H]2C(=O)N[C@@H]([*])C(=O)N[C@H](C[*])C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](C[*])C(=O)N2C1,1
[*]O[C@@H]1C[C@H]2C(=O)N[C@@H]([*])C(=O)N[C@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](C[*])C(=O)N[C@@H]([*])C(=O)N2C1,1
[*]O[C@@H]1C[C@H]2C(=O)N[C@@H]([*])C(=O)N[C@H](C[*])C(=O)N[C@@H]([*])C(=O)N[C@@H](C[*])C(=O)N[C@@H]([*])C(=O)N2C1,1
[*]O[C@@H]1C[C@H]2C(=O)N[C@@H]([*])C(=O)N[C@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](C[*])C(=O)N[C@@H](C[*])C(=O)N2C1,1
[*]O[C@@H]1C[C@H]2C(=O)N[C@@H]([*])C(=O)N[C@H](C[*])C(=O)N[C@@H]([*])C(=O)N[C@@H](C[*])C(=O)N[C@@H](C[*])C(=O)N2C1,1
[*][C@@H]1NC(=O)[C@H]([*])NC(=O)[C@@H]([*])NC(=O)[C@H]([*])NC(=O)[C@@H]2C[C@@H]([*])CN2C(=O)[C@H]([*])NC1=O,1
[*]C[C@H]1NC(=O)[C@H]([*])NC(=O)[C@@H]2C[C@@H]([*])CN2C(=O)[C@H]([*])NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O,1
[*]C[C@@H]1NC(=O)[C@H]([*])NC(=O)[C@@H]([*])NC(=O)[C@H]([*])NC(=O)[C@@H]2C[C@@H]([*])CN2C(=O)[C@H]([*])NC1=O,1
[*]C[C@@H]1NC(=O)[C@H]([*])NC(=O)[C@@H](C[*])NC(=O)[C@H]([*])NC(=O)[C@@H]2C[C@@H]([*])CN2C(=O)[C@H]([*])NC1=O,1
[*]C[C@@H]1NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC(=O)[C@@H]([*])NC(=O)[C@H]([*])NC(=O)[C@@H]2C[C@@H]([*])CN2C1=O,1
[*]C[C@@H]1NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC(=O)[C@@H](C[*])NC(=O)[C@H]([*])NC(=O)[C@@H]2C[C@@H]([*])CN2C1=O,1
[*]C[C@@H]1NC(=O)[C@H]([*])NC(=O)[C@@H]([*])NC(=O)[C@H]([*])NC(=O)[C@@H]2C[C@@H]([*])CN2C(=O)[C@H](C[*])NC1=O,1
[*]C[C@@H]1NC(=O)[C@H]([*])NC(=O)[C@@H](C[*])NC(=O)[C@H]([*])NC(=O)[C@@H]2C[C@@H]([*])CN2C(=O)[C@H](C[*])NC1=O,1
[*]C1:C:C2:C:C([*]):C:C:C:2:O:1,1
[*]C1:C:[NH]:C2:C:C:C(C#N):C:C:1:2,1
N#[N+][O-],1
[*]CC1:C:C:C(OC):C:C:1,7
[*]C1:C:C(C):C([*]):C(C):C:1,19
[*]C(=O)/N=C(/N)C1:C:C:C(N[*]):C:C:1,1
[*]C(=O)C1:C:C:C2:C(:C:1):N:C(C[*]):N:2C,2
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,1
[*]CCNC,4
[*]N[C@H](C)C(N)=O,5
[*]C(=O)[C@@H]1CC(=O)NC(=O)N1,1
[*]C(=O)[C@H](CCCC[*])N[*],5
[*]C(=O)[C@H](CCCCN[*])N[*],9
[*]CC([*])C1:C:C:C(O):C:C:1,2
[*][C@H]1CCCCN1,4
[*]OC1:C:C:C(CO):C:C:1[*],1
O=C([O-])C[N+]12CC[N+]3(CC(=O)[O-])CC[N+]4([C@@H](CO)[C@@H](O)CO)CC[N+](CC(=O)[O-])(CC1)[Gd-]234,1
[*]C1:C:C:C:C(I):C:1,4
[*]OP(=O)([O-])O[*],26
[*]CC([*])CN([*])[*],1
[*]CC(C[*])N([*])[*],1
[*]CC(CN([*])[*])N([*])[*],1
[*]C1CCC([*])([*])CC1,2
[*]CCCC(C)NC,1
[*]CC1:C:C:C(Cl):C:C:1,2
[*]C1C2:C:C(Cl):C:C:C:2C2:C([*]):C:C(Cl):C:C:21,1
[*]N([*])CC([*])O,2
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
[*]C(=O)C1=C(C)NC(C#N)=C(C(=O)OC)C1[*],2
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC,2
[*]CC(C)NC,4
[*]OCOP(=O)(O)O,3
[*]CC1:N:C(=O):N(P(=O)(O)O):[NH]:1,1
C[C@]12CC3:C:[NH]:N:C:3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,1
[OH-],3
O=C([O-])[O-],16
[*]C(=O)C1=C(O)C2:S:C(Cl):C:C:2S(=O)(=O)N1C,2
[*]NC1:C:C:N:N:1[*],1
[*]N1:N:C:C:C:1[*],4
[*]N[C@H]1CC[C@H](O)CC1,6
[*]CC1:C:C(Br):C:C(Br):C:1N,5
[*]CC1:C:C:C([*]):C([*]):C:1,2
[*]C1NCCC2:C:C([*]):C([*]):C:C:21,2
[*]CC(Cl)(Cl)Cl,1
[Mn+2],1
[*]C(C)C(C)(C)C,1
[*]NC(=NC#N)N[*],2
C1:C:C:C2:C(:C:1)CCCC2C1=NCCN1,1
[*]C1C2:C:C:C:C:C:2CCN2:C(C=O):C:N:C:21,1
[Cl-],11
CC(O)C(=O)[O-],4
[*]N([*])C1:C:C:C2:C(:C:1):N:C([*]):N:2C,3
OCC1:C:C:C:C:C:1,1
[*]N1CCCC[C@@H](N)C1,1
[*]N1:C:C([*]):C(=O):C2:C:C(F):C([*]):C(Cl):C:2:1,6
[*]O[C@H]1C[C@@]2(O)[C@@H](O[*])[C@H]3[C@](C)(C(=O)[C@H](OC)C(=C1C)C2(C)C)[C@@H](OC)C[C@H]1OC[C@]13O[*],1
[*]NCC1:C:C:C(O):C(OC):C:1,4
[*]CC(C)C,5
[*]C(=O)CCCCC[*],5
[*][C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,2
[*]O[C@]1([*])CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1
OCC(S)CS,1
N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N,1
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],16
[*]C(=O)[C@@H](CCCCN=C(NCC)NCC)N[*],1
[*]C(=O)[C@H](CCCCN=C(NCC)NCC)N[*],1
[*][C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,2
[*][C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,2
[*]CC([*])([*])O,1
[*]N1CCC[C@H]1/C(O)=N/CC,2
[*]CN1:C:N:C([*]):C:1,2
[*]C(=O)[C@H](CCC[*])/N=C(\O)[C@H](CC(C)C)/N=C(\O)[C@@H](C[*])/N=C(\O)[C@H](C[*])/N=C(\O)[C@H](CO)/N=C(\O)[C@H](C[*])/N=C(\O)[C@H](C[*])/N=C(\O)[C@@H]1CCC(O)=N1,2
[*]C(=O)CCCCC,9
[*]O[C@]1([*])CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3
[*]NC(C(N)=O)C(C)O,1
[*]C(=O)C(N)C[*],1
[*]C(=O)C1CSSCC(N[*])C(=O)NC([*])C(=O)NC([*])C(=O)NC([*])C(=O)NC([*])C(=O)N1,1
[*]C(=O)C1CSSCC(N[*])C(=O)NC([*])C(=O)NC(C[*])C(=O)NC([*])C(=O)NC([*])C(=O)N1,1
[*]C(=O)C1CSSCC(N[*])C(=O)NC(C[*])C(=O)NC([*])C(=O)NC([*])C(=O)NC([*])C(=O)N1,1
[*]C(=O)C1CSSCC(N[*])C(=O)NC(C[*])C(=O)NC(C[*])C(=O)NC([*])C(=O)NC([*])C(=O)N1,1
[*]C(=O)C(=O)O,15
[*]NC1:C:C(C#N):C:C(N[*]):C:1Cl,1
NCC1:C:C:C(S(N)(=O)=O):C:C:1,1
[*]CC1:C:C(C[*]):C(O):C(C):N:1,2
[*]CC1:C:C(CN([*])[*]):C(O):C(C):N:1,2
[*]OCC(C)(CO[*])C(C)CC,1
C1N2CN3CN1CN(C2)C3,1
[*][N@@+]1(C)CC[C@]23C4:C5:C:C:C(O):C:4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1
[*]C(=O)C1:C:C(Cl):C:C:C:1O,2
[*]NC1:C:C:C([N+](=O)[O-]):C:C:1Cl,2
[*]CCCCCCCCC,2
[*]C(=O)C1:C:C:C(N):C:C:1O,1
[*]N1CCCNCCNCCCNCC1,1
[*]CC1:C:C:C(C[*]):C:C:1,5
[*][C@H]1C[C@](C)(O)[C@H](O)[C@@H](C)O1,2
[*][C@H]1C[C@@H](O)[C@H](O)[C@@H](C)O1,2
[*]O[C@H]1C[C@](C)(O)[C@H](O)[C@@H](C)O1,2
[*]O[C@H]1C[C@@H](O)[C@H](O)[C@@H](C)O1,2
[*]O[C@@H]1C[C@H]([*])O[C@H](C)[C@@H]1O,2
[*]O[C@H]1C[C@@H](O[*])[C@@H](O)[C@@H](C)O1,2
[*]O[C@@H]1C[C@H]([*])O[C@H](C)[C@H]1O,2
[*][C@H]1C[C@@H]([*])[C@H](O)[C@@H](C)O1,2
[*]O[C@H]1C[C@@H](O[*])[C@H](O)[C@@H](C)O1,2
[*][C@H]1C[C@@H]([*])[C@@H](O)[C@@H](C)O1,2
[*]O[C@H]1C[C@@H]([*])[C@@H](O)[C@@H](C)O1,2
[*]O[C@H]1C[C@@H]([*])[C@H](O)[C@@H](C)O1,2
[*]C(OC)C(=O)[C@@H](O)[C@@H](C)O,2
[*]OC1:C:C2:C:C3:C(:C(O):C:2:C(O):C:1C)C(=O)[C@@H](O[*])C([*])C3,2
[*]OC1:C:C2:C:C3:C(:C(O):C:2:C(O):C:1C)C(=O)[C@@H]([*])C([*])C3,2
[*]O[C@@H]1C(=O)C2:C(:C:C3:C:C([*]):C(C):C(O):C:3:C:2O)CC1[*],2
[*]C1CC2:C:C3:C:C([*]):C(C):C(O):C:3:C(O):C:2C(=O)[C@H]1[*],2
[*]OCCCCCCCCCCCC,5
[*]C1:C:N:C2:N:C(N):N:C(N):C:2:N:1,2
[*]CC([*])CC#C,2
[O-][N+]1:C:C:C:C:C:1S,1
[*]CC1:C:C:C2:C:C([*]):C:C:C:2:[N+]:1C,1
[*]CC1:C:C(C):N([*]):C:1C,1
[*]C(=O)C1:N:N:C(C):O:1,1
[*]NCC1:C:C:C(F):C:C:1,2
[*]NC([*])(C)C,4
[*]C(=O)C1:N:C([*]):N(C):C(=O):C:1O,1
[*]SCC1:C:C:C(Cl):C:C:1,1
[*]CC([*])S[*],1
[*]NC1:N:C:C(OC):C:N:1,1
[*]C1:N:C:C(OC):C:N:1,1
CC(S)/C(O)=N/CC(=O)O,2
[*]CCC(=O)CCCCCCC,2
[*]N/C=C1\NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](N[*])CNC(=O)[C@H]([C@H]2C[C@H](O)NC(=N)N2)NC1=O,1
[*]C(=O)CCC(=O)O,27
[*]OC[C@@H](N[*])[C@@H]([*])O,2
[*]C1:C:C(=O):C2:C:C:C:C:C:2:O:1,2
[*]OC1:C:C:C(Cl):C:C:1O,3
[*]C1:C:C:C(Cl):C:C:1O,3
[*]OC1:C:C:C(Cl):C:C:1Cl,6
[*]CCC1=C(C([*])C)C2:C:C:C:C:C:2C1,2
[*]C(=O)CCCCCCCCC,1
O=C(O)C(Cl)Cl,2
[*]OC1:C:C([*]):C:C:C:1[*],6
[*]C[C@@H]1CCCC[C@H]1C[*],2
[*]N1C(=O)[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C1=O,3
[*]C[C@@H]1CCCC[C@H]1[*],2
[*]CN1C(=O)[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C1=O,2
[*]O[C@H]1C[C@@H]([*])[C@H](O)[C@@H]1O,1
[*]N1:N:N:C2:C([*]):N:C(S[*]):N:C:2:1,1
[*]NC1:N:C(S[*]):N:C2:C:1:N:N:N:2[*],1
[*][C@H]1C[C@@H]([*])[C@H](O)[C@@H]1O,1
[*]N[C@@H]1C[C@H]1[*],2
[*]C1:C:C:C(F):C(F):C:1,4
[*][C@@H]1C[C@H]1[*],4
[*]OC1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1N[*],1
[*]N[C@@H]1C([*])[C@H](O)[C@@H](CO)O[C@H]1O,1
[*]OC1[C@@H](N[*])[C@H]([*])O[C@H](CO)[C@H]1O,1
[*]N[C@@H]1C([*])[C@H](O)[C@@H](CO)O[C@H]1[*],1
[*]OC1[C@H](O)[C@@H](CO)O[C@@H](O[*])[C@@H]1N[*],1
[*]O[C@@H]1O[C@H](CO)[C@@H](O)C([*])[C@H]1N[*],1
[*][C@@H]1O[C@H]([*])[C@@H](O)[C@H](O)[C@H]1O,4
[*]O[C@@H]1O[C@H]([*])[C@@H](O)[C@H](O)[C@H]1O,4
[*]CC(F)(F)C[*],1
[*]OCC(F)(F)C[*],1
[*]C(=O)C1:C:[NH]:C2:C:C:C:C:C:2:C:1=O,2
[*]NC1:C:C(O):C([*]):C:C:1[*],2
[*]OCC1:O:C(=O):O:C:1C,5
[*]C1:N:O:C(=O):[NH]:1,2
[*][C@@H]1O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]1OC,2
[*]O[C@@H]1O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]1OC,2
[*]O[C@H]1C[C@H]2[C@@H]3C=C4C(=O)[C@H](C)[C@@H](O[*])CCC[C@H](CC)OC(=O)C[C@H]4[C@@H]3C=C(C)[C@@H]2C1,2
[*]O[C@H]1C[C@H]2[C@@H]3C=C4C(=O)[C@H](C)[C@@H]([*])CCC[C@H](CC)OC(=O)C[C@H]4[C@@H]3C=C(C)[C@@H]2C1,2
[*]O[C@H]1CCC[C@H](CC)OC(=O)C[C@@H]2C(=C[C@H]3[C@@H]4C[C@H]([*])C[C@H]4C(C)=C[C@@H]23)C(=O)[C@@H]1C,2
[*][C@H]1C[C@H]2[C@@H]3C=C4C(=O)[C@H](C)[C@@H]([*])CCC[C@H](CC)OC(=O)C[C@H]4[C@@H]3C=C(C)[C@@H]2C1,2
[*][C@H]1CC[C@H]([*])[C@@H](C)O1,2
[*]O[C@H]1CC[C@H]([*])[C@@H](C)O1,2
[*]CCCF,1
[*]C1:C:C:C([123I]):C:C:1,4
[*]N1[C@H]2CC[C@@H]1[C@@H]([*])[C@@H]([*])C2,3
CC1:C(O):C(=O):C:C:N:1C,1
[*]NCC(F)(F)F,4
[*]C(=O)C1(CCCC[*])C2:C:C:C:C:C:2C2:C:C:C:C:C:21,2
[*]C(=O)C1:C:C:C(S(C)(=O)=O):C:C:1Cl,2
[*]O[C@@H](C[*])CC(=O)[O-],2
[*]CC1:C([*]):N:C2:C:C:C:C:C:2:C:1[*],1
[*]NC1:C:C:N:C([*]):N:1,15
[*]NC1:C:C:N:C(N[*]):N:1,14
[*]CC#N,4
[*]NC1:C(C):C:C(C[*]):C:C:1C,1
[*]CC1:C:C(C):C([*]):C(C):C:1,2
[*][C@H](C)C1:C(Cl):C:C:C(F):C:1Cl,3
[*]C1:C(Cl):C:C:C(F):C:1Cl,3
[*]OC1:C:C([*]):C:N:C:1N,1
[*]C1:C:N:C(N):C([*]):C:1,1
[*][C@H]1C[C@@]2(C)[C@@H](CC[C@@]2([*])O)[C@@H]2CCC3=CC(=O)CCC3=C12,1
[*]CCC(N)(CO)CO,2
[*]CCCCCCCC,3
[*]N[C@@H](CC(C)C)C(N)=O,3
[*]C(=O)[C@@H](N[*])C(C)CC,2
[*]C(=O)[C@@H](N[*])C(C)O,2
[*]C(=O)CC[*],3
[*]C[C@H](O)CN,2
[*][C@H]1O[C@H]2C[C@H]3O[C@@H](CC[C@@H]4O[C@@H](CC[C@@]56C[C@H]7O[C@H]8[C@@H](O5)[C@H]5OC(CC[C@@H]5O[C@H]8[C@H]7O6)CC(=O)C[C@@H]2[C@H]1OC)CC4=C)C[C@@H](C)C3=C,2
[*]NCC1([*])CCCCC1,2
[*]CC1([*])CCCCC1,2
[*]C(=O)[C@@H]1[C@@H]2[C@H](CN1[*])C2(C)C,1
[*]C(=O)[C@@H]([*])C(C)(C)C,4
[*]C1CCC1,10
[*]NC(C[*])C(=O)C(N)=O,1
[*]C(=O)C1:C(O):C(Cl):C(O):C(Cl):C:1CC,1
[*]O[C@H]1[C@H](O)[C@H](OC)[C@H](O[*])O[C@@H]1C,1
[*]O[C@H]1[C@H](O)[C@H](OC)[C@H]([*])O[C@@H]1C,1
[*]O[C@H]1[C@H](O)[C@H](O)[C@H]([*])OC1(C)C,1
[*]O[C@H]1[C@H](O)[C@H](O)[C@H](O[*])OC1(C)C,1
[*]O[C@H]1/C(C)=C/C(C)=C/CC([*])OC(=O)/C(C[*])=C/C=C/C[C@H](O)/C(C)=C/[C@@H]1CC,1
[*]C/C1=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H]([*])/C(C)=C/C(C)=C/CC([*])OC1=O,1
[*]OC/C1=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[*])/C(C)=C/C(C)=C/CC([*])OC1=O,1
[*]OC/C1=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H]([*])/C(C)=C/C(C)=C/CC([*])OC1=O,1
[*]NC1:C:C:C(F):C:C:1,9
[*]C(=O)C1(C([*])=O)CC1,4
[*]OC1:C:C:N:C2:C:C(OC):C(OC):C:C:1:2,4
[*]C1:C:C:N:C2:C:C(OC):C(OC):C:C:1:2,4
[*]C([*])CC#N,1
[*]C1:N:C:N:C2:[NH]:C:C:C:1:2,13
[*]C(C)O,5
[*]S(=O)(=O)CCC,4
[*]NS(=O)(=O)CCC,4
[*]NC1:C:C:C(F):C([*]):C:1F,3
[*]NC1:C:C:C(F):C(C([*])=O):C:1F,3
[*]C1:C:C:C(F):C([*]):C:1F,3
[*]C(=O)C1:C(F):C:C:C([*]):C:1F,3
[*]C(=O)C1:C:[NH]:C2:N:C:C([*]):C:C:1:2,2
[*]C1:C:N:C2:[NH]:C:C([*]):C:2:C:1,6
[*]CC#CC,1
[*]CC1:N:C(C):C2:C:C:C:C:C:2:N:1,1
[*]C1:N:C(C):C2:C:C:C:C:C:2:N:1,1
[*]N1:C(=O):C2:C(:N:C([*]):N:2[*]):N(C):C:1=O,1
[*]CN1:C(=O):C2:C(:N:C([*]):N:2[*]):N(C):C:1=O,1
[*]N1:C:C([*]):C:C([*]):C:1=O,1
[*]C[C@@H]([*])C[*],2
[*][C@@H](C[*])CN([*])[*],1
[*]C[C@H](C[*])N([*])[*],1
[*]N([*])C[C@H](C[*])N([*])[*],1
[*][C@@]1(C)CO1,3
[*]N[C@@H](CC(C)C)C([*])=O,2
[*]N[C@@H](C[*])C(=O)O,20
[*]C(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC(=O)[C@@H]3CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@@H]4CCCN4C(=O)[C@H]([*])NC(=O)[C@H](CSSC[C@H](N)C(=O)N3)NC2=O)C(=O)N[C@@H]([*])C(=O)NCC(=O)N1,1
[*]C(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@H](C[*])NC(=O)[C@H]([*])NC(=O)[C@@H]3CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@@H]4CCCN4C(=O)[C@H]([*])NC(=O)[C@H](CSSC[C@H](N)C(=O)N3)NC2=O)C(=O)N[C@@H]([*])C(=O)NCC(=O)N1,1
[*]C(=O)CC#N,3
[*]N1CC[C@@H](C)[C@@H](N([*])C)C1,2
[*]N1CC[C@@H](C)[C@@H]([*])C1,2
[*]N(C)C1:N:C:N:C2:[NH]:C:C:C:1:2,3
[*]NC1:C:C:C([*]):C:C:1F,11
[*]OC1:C:C:C(N[*]):C(F):C:1,3
[*]OC1:C:C:C([*]):C(F):C:1,3
[*]O[C@H]1C[N+]2([*])CCC1CC2,2
[*]C1:C:C:C(C#N):C([*]):C:1,3
[*]N1C(=S)N([*])C(=O)C1(C)C,1
[*]C(=O)C1:C:C:C(C):C(C#CC2:C:N:C3:C:C:C:N:N:2:3):C:1,2
[*]CC1:C:C:C(N[*]):C:C:1[*],3
[*]C1:C:C2:C:C(Br):C:C:C:2:N:C:1OC,1
[*]CC[C@]([*])(O)C([*])[*],1
C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,2
[*]CC1:C:C([*]):C:C:C:1C,1
[*]C1:C:C:C(C):C([*]):C:1,7
[*]CC1:C:C:C([*]):S:1,1
[*]CC(=O)OC,7
[*]OCC(CO[*])O[*],10
[*]C(=O)CCC[*],3
[*]N1C(=O)C2:C:C:C:C(N):C:2C1=O,1
[*]N1:C(=O):C2:C([*]):N(C):C(=O):C(C):C:2:N([*]):C:1=O,1
[*]NC1:C2:C(=O):N([*]):C(=O):N([*]):C:2:C(C):C(=O):N:1C,1
[*]S(=O)(=O)C1:C(F):C:C:C:C:1F,3
[*]NS(=O)(=O)C1:C(F):C:C:C:C:1F,2
[*]C1:C:C:N:C(N):N:1,13
[*]NC1:C:C:C:C([*]):C:1F,2
[*]C1:C:C:C:C([*]):C:1F,2
[*]C1:N:C([*]):C([*]):S:1,4
Cl[223Ra]Cl,2
[*]C(=O)/C=C/C[*],10
[*]OC1:C:C2:N:C:N:C([*]):C:2:C:C:1N[*],2
[*]OC1:C:C2:N:C:N:C(N[*]):C:2:C:C:1N[*],2
[*]NC1:C:C2:C([*]):N:C:N:C:2:C:C:1[*],2
[*]NC1:C:C2:C(N[*]):N:C:N:C:2:C:C:1[*],2
[*]C(=O)[C@@]1([*])C[C@H]1CN,2
[*]NCC1:C:C:C(F):C:C:1F,3
[*]C(=O)C1:C:N2:C(:C(O):C:1=O)C(=O)N1[C@H](C2)OCC[C@H]1C,1
[*]CC1:C:C:C:C:C:1F,5
[*]N1:N:C([*]):C2:C:C:C:N:C:2:1,2
[*]N(C)C1:C(N):N:C([*]):N:C:1N,1
[*]CN1:N:C([*]):C2:C:C:C:N:C:2:1,1
[*]OC1:N:C:C(Br):C:N:1,2
[*]C1:N:C:C(Br):C:N:1,3
[*]NS(=O)(=O)N[*],1
[*]OC1:N:C:N:C([*]):C:1[*],2
[*]C1:N:C:N:C([*]):C:1[*],2
